	Completenesssuperkingdom	Completenessphylum	Completenessclass	Completenessorder	Completenessfamily	Completenessgenus	Completenessspecies	Completenessavg	Completenessstrain	Puritysuperkingdom	Purityphylum	Purityclass	Purityorder	Purityfamily	Puritygenus	Purityspecies	Purityavg	Puritystrain	F1 scoresuperkingdom	F1 scorephylum	F1 scoreclass	F1 scoreorder	F1 scorefamily	F1 scoregenus	F1 scorespecies	F1 scoreavg	F1 scorestrain	L1 norm errorsuperkingdom	L1 norm errorphylum	L1 norm errorclass	L1 norm errororder	L1 norm errorfamily	L1 norm errorgenus	L1 norm errorspecies	L1 norm erroravg	L1 norm errorstrain	Bray-Curtis distancesuperkingdom	Bray-Curtis distancephylum	Bray-Curtis distanceclass	Bray-Curtis distanceorder	Bray-Curtis distancefamily	Bray-Curtis distancegenus	Bray-Curtis distancespecies	Bray-Curtis distanceavg	Bray-Curtis distancestrain	Shannon equitabilitysuperkingdom	Shannon equitabilityphylum	Shannon equitabilityclass	Shannon equitabilityorder	Shannon equitabilityfamily	Shannon equitabilitygenus	Shannon equitabilityspecies	Shannon equitabilityavg	Shannon equitabilitystrain	Weighted UniFrac error
Bracken 2.2	100.0	61.3	49.8	58.7	56.7	77.2	61.4	66.4	0.0	100.0	100.0	99.6	99.5	97.1	70.9	16.2	83.3	0.0	100.0	75.2	65.6	73.2	70.7	73.4	25.6	73.9		0.0	0.41	0.41	0.41	0.43	0.47	0.51	0.38		0.0	0.21	0.21	0.21	0.21	0.23	0.25	0.19		0.0	0.29	0.35	0.17	0.09	0.04	0.06	0.14		3.74
CCMetagen 1.1.3	100.0	51.2	41.2	50.7	45.7	49.9	32.9	53.1	0.0	82.0	97.4	95.7	88.9	75.6	66.7	36.4	77.5	0.0	87.8	66.8	57.2	63.9	56.4	56.5	34.0	63.0		0.01	0.38	0.38	0.39	0.4	0.62	0.64	0.4		0.01	0.19	0.19	0.19	0.2	0.31	0.32	0.2		0.03	0.38	0.43	0.12	0.01	0.06	0.08	0.16		3.97
Centrifuge 1.0.4 beta	100.0	63.0	54.0	64.7	67.2	80.6	58.3	69.7	0.0	100.0	100.0	99.5	99.4	89.4	73.5	31.3	84.7	0.0	100.0	76.5	69.1	77.6	75.8	75.9	40.0	76.5		0.0	0.31	0.31	0.31	0.32	0.29	0.36	0.27		0.0	0.16	0.16	0.15	0.16	0.14	0.18	0.14		0.0	0.3	0.32	0.15	0.05	0.03	0.02	0.12		3.0
DUDes 0.08	100.0	58.8	47.0	52.3	48.1	49.9	29.1	55.0	0.0	100.0	100.0	100.0	100.0	97.9	95.9	87.4	97.3	0.0	100.0	73.3	63.4	68.1	64.0	65.3	43.3	70.3		0.0	0.58	0.58	0.66	0.69	0.66	0.71	0.56		0.0	0.29	0.29	0.33	0.34	0.33	0.36	0.28		0.0	0.0	0.07	0.01	0.1	0.02	0.06	0.04		4.99
DUDes cami1	100.0	55.5	44.4	51.2	49.8	51.9	40.8	56.2	0.0	100.0	100.0	100.0	96.3	100.0	92.9	75.9	95.0	0.0	100.0	70.8	61.0	66.6	66.2	66.2	52.6	70.6		0.0	0.18	0.18	0.22	0.22	0.32	0.33	0.21	1.99	0.0	0.09	0.09	0.11	0.11	0.16	0.17	0.1	1.0	0.0	0.41	0.48	0.29	0.22	0.17	0.12	0.24	0.01	3.54
FOCUS 1.5	100.0	100.0	61.6	72.7	64.6	64.1	30.0	70.4	0.0	50.0	43.7	28.7	23.7	25.5	20.3	12.3	29.2	0.0	66.7	60.8	39.1	35.7	36.4	30.7	17.4	41.2		0.06	0.51	0.46	0.51	0.56	0.66	0.75	0.5	1.99	0.03	0.26	0.23	0.26	0.28	0.33	0.38	0.25	1.0	0.2	0.02	0.0	0.02	0.0	0.09	0.15	0.07	0.14	5.83
FOCUS cami1	100.0	100.0	99.2	83.2	76.2	70.7	35.1	80.6	0.0	50.0	44.4	43.3	24.3	21.0	16.5	9.0	29.8	0.0	66.7	61.5	60.2	37.6	32.9	26.7	14.3	43.5		0.05	0.45	0.47	0.5	0.58	0.64	0.74	0.49	1.99	0.02	0.23	0.24	0.25	0.29	0.32	0.37	0.25	1.0	0.16	0.03	0.03	0.01	0.0	0.04	0.13	0.06	0.19	5.64
LSHVec gsa	100.0	50.0	40.0	50.0	33.3	33.3	15.0	46.0	0.0	100.0	100.0	100.0	100.0	100.0	100.0	37.5	91.1	0.0	100.0	66.7	57.1	66.7	50.0	50.0	21.4	61.1		0.0	0.05	0.05	0.08	0.2	0.24	0.67	0.19		0.0	0.03	0.03	0.04	0.1	0.12	0.34	0.09		0.0	0.47	0.54	0.26	0.27	0.26	0.29	0.3		2.42
LSHVec illumina	100.0	52.2	43.6	52.7	48.2	64.6	37.8	57.0	0.0	100.0	100.0	87.6	87.7	76.3	24.9	4.2	68.7	0.0	100.0	68.4	56.8	64.3	56.5	34.7	7.6	62.3		0.0	0.51	0.51	0.54	0.57	0.76	1.9	0.68		0.0	0.26	0.25	0.27	0.29	0.38	0.95	0.34		0.0	0.33	0.27	0.1	0.03	0.13	0.46	0.19		5.92
LSHVec pacbio	100.0	74.5	62.0	67.2	54.0	50.2	9.6	59.7	0.0	100.0	59.6	27.5	20.1	13.3	7.7	1.2	32.8	0.0	100.0	65.2	37.1	30.6	21.1	13.1	2.3	42.3		0.0	0.32	0.37	0.63	0.92	1.17	1.98	0.77		0.0	0.16	0.19	0.32	0.46	0.59	0.99	0.39		0.0	0.02	0.02	0.11	0.2	0.21	0.46	0.15		6.56
